; ============================================ LFRS AVISO v2 ============================================

[GEO]

LFRS AVISO v2 N047.09.52.650 W001.36.07.250 N047.09.52.071 W001.36.07.693 COLOR_RunwayBorder
COLOR_RunwayConcrete N047.08.29.459 W001.37.09.408
N047.08.29.481 W001.37.09.386
N047.08.28.894 W001.37.07.776
N047.08.28.784 W001.37.07.416
N047.08.28.688 W001.37.06.912
N047.08.28.645 W001.37.06.452
N047.08.28.641 W001.37.05.935
N047.08.28.701 W001.37.05.368
N047.08.28.851 W001.37.04.662
N047.08.29.679 W001.37.01.210
N047.08.30.546 W001.37.01.588
N047.08.30.392 W001.37.02.122
N047.08.29.828 W001.37.04.511
N047.08.29.739 W001.37.05.145
N047.08.29.726 W001.37.05.356
N047.08.29.756 W001.37.05.553
N047.08.29.851 W001.37.05.855
N047.08.30.022 W001.37.06.224
N047.08.30.219 W001.37.06.478
N047.08.30.511 W001.37.06.772
N047.08.30.712 W001.37.06.890
N047.08.30.989 W001.37.06.976
N047.08.31.574 W001.37.07.104
N047.08.32.302 W001.37.07.182
N047.08.32.439 W001.37.07.140
N047.08.51.229 W001.36.52.846
N047.08.51.474 W001.36.52.543
N047.08.51.690 W001.36.52.178
N047.08.51.917 W001.36.51.600
N047.08.52.438 W001.36.50.044
N047.08.52.711 W001.36.49.011
N047.08.52.977 W001.36.47.650
N047.08.53.195 W001.36.46.509
N047.08.54.145 W001.36.46.907
N047.08.54.141 W001.36.47.070
N047.08.54.176 W001.36.47.339
N047.08.54.279 W001.36.47.742
N047.08.54.368 W001.36.47.975
N047.08.54.537 W001.36.48.289
N047.08.54.702 W001.36.48.513
N047.08.54.882 W001.36.48.722
N047.08.55.117 W001.36.48.899
N047.08.55.352 W001.36.49.024
N047.08.55.555 W001.36.49.064
N047.08.55.891 W001.36.49.026
N047.08.56.404 W001.36.48.898
N047.09.23.249 W001.36.28.459
N047.09.23.355 W001.36.28.328
N047.09.23.463 W001.36.28.038
N047.09.23.542 W001.36.27.698
N047.09.23.586 W001.36.27.355
N047.09.23.574 W001.36.26.963
N047.09.23.524 W001.36.26.550
N047.09.23.435 W001.36.26.102
N047.09.23.322 W001.36.25.662
N047.09.23.152 W001.36.25.150
N047.09.23.035 W001.36.24.905
N047.09.24.029 W001.36.24.146
N047.09.24.293 W001.36.24.638
N047.09.24.609 W001.36.25.141
N047.09.24.910 W001.36.25.532
N047.09.25.186 W001.36.25.826
N047.09.25.447 W001.36.26.048
N047.09.25.702 W001.36.26.199
N047.09.25.890 W001.36.26.276
N047.09.26.102 W001.36.26.285
N047.09.28.842 W001.36.24.198
N047.09.29.018 W001.36.23.881
N047.09.29.255 W001.36.23.210
N047.09.29.420 W001.36.22.551
N047.09.29.524 W001.36.21.742
N047.09.29.513 W001.36.21.086
N047.09.29.433 W001.36.20.515
N047.09.29.328 W001.36.20.109
N047.09.29.925 W001.36.19.657
N047.09.30.210 W001.36.20.211
