; ======================================================== LFRN AVISO ========================================================

[GEO]

LFRN AVISO N048.04.22.557 W001.43.17.632 N048.04.20.289 W001.43.22.514 COLOR_Taxiway
N048.03.43.494 W001.44.02.573
N048.03.43.589 W001.44.02.669
N048.03.43.897 W001.44.02.125
N048.03.44.099 W001.44.02.385
N048.03.43.950 W001.44.02.645
N048.03.45.343 W001.44.04.332
N048.03.45.504 W001.44.04.004
N048.03.45.612 W001.44.03.637
N048.03.45.918 W001.44.04.034
N048.03.45.896 W001.44.04.112
N048.03.45.848 W001.44.04.247

REGIONNAME LFRN AVISO
COLOR_HardSurface3 N048.04.04.337 W001.43.45.428
N048.04.04.476 W001.43.45.792
N048.04.04.503 W001.43.46.239
N048.04.04.441 W001.43.46.607
N048.04.04.271 W001.43.46.985
N048.04.03.073 W001.43.48.782
N048.04.02.601 W001.43.48.052
N048.04.03.792 W001.43.46.243
N048.04.02.084 W001.43.43.702
N048.04.03.863 W001.43.41.039
N048.04.04.098 W001.43.41.246
N048.04.04.619 W001.43.41.979
N048.04.04.768 W001.43.42.233
N048.04.04.831 W001.43.42.462
N048.04.04.690 W001.43.42.644
N048.04.04.599 W001.43.42.849
N048.04.04.527 W001.43.43.087
N048.04.04.533 W001.43.43.452
N048.04.04.623 W001.43.43.882
N048.04.04.704 W001.43.44.222
N048.04.04.785 W001.43.44.427
N048.04.04.207 W001.43.45.246

REGIONNAME LFRN AVISO
COLOR_DangerArea N048.04.12.114 W001.44.24.347
N048.04.12.322 W001.44.24.021
N048.04.21.723 W001.44.34.967
N048.04.21.923 W001.44.35.149
N048.04.22.135 W001.44.35.278
N048.04.22.347 W001.44.35.267
N048.04.22.540 W001.44.35.136
N048.04.22.755 W001.44.34.889
N048.04.22.967 W001.44.34.541
N048.04.23.112 W001.44.34.216
N048.04.23.362 W001.44.35.908
N048.04.22.924 W001.44.36.075
N048.04.22.742 W001.44.36.130
N048.04.22.580 W001.44.36.168
N048.04.22.391 W001.44.36.148
N048.04.22.084 W001.44.35.999
N048.04.21.776 W001.44.35.668
