COLOR_GrasSurface
N046.10.34.427 W001.11.43.609
N046.10.34.997 W001.11.44.084
N046.10.35.322 W001.11.44.393
N046.10.35.348 W001.11.44.389
N046.10.35.376 W001.11.44.372
N046.10.35.410 W001.11.44.343
N046.10.35.449 W001.11.44.303
N046.10.35.489 W001.11.44.244
N046.10.35.608 W001.11.44.033
N046.10.35.787 W001.11.43.686
N046.10.36.042 W001.11.43.225
N046.10.36.335 W001.11.43.835
 
COLOR_HardSurface3
N046.10.37.253 W001.11.44.554
N046.10.36.589 W001.11.46.053
N046.10.36.647 W001.11.46.105
N046.10.36.474 W001.11.46.504
N046.10.36.415 W001.11.46.449
N046.10.36.287 W001.11.46.726
N046.10.36.215 W001.11.46.898
N046.10.36.166 W001.11.47.010
N046.10.36.137 W001.11.47.095
N046.10.36.126 W001.11.47.162
N046.10.36.112 W001.11.47.225
N046.10.36.111 W001.11.47.275
N046.10.35.871 W001.11.46.862
N046.10.35.904 W001.11.46.844
N046.10.35.935 W001.11.46.819
N046.10.35.959 W001.11.46.783
N046.10.35.989 W001.11.46.716
N046.10.36.054 W001.11.46.504
N046.10.36.111 W001.11.46.322
N046.10.36.147 W001.11.46.201
N046.10.36.192 W001.11.46.087
N046.10.36.317 W001.11.45.806
N046.10.36.350 W001.11.45.765
N046.10.36.473 W001.11.45.569
N046.10.36.551 W001.11.45.445
N046.10.36.593 W001.11.45.377
N046.10.36.616 W001.11.45.312
N046.10.36.629 W001.11.45.242
N046.10.36.634 W001.11.45.168
N046.10.36.630 W001.11.45.097
N046.10.36.619 W001.11.45.002
N046.10.36.595 W001.11.44.911
N046.10.36.560 W001.11.44.839
N046.10.36.517 W001.11.44.784
N046.10.36.476 W001.11.44.740
N046.10.36.433 W001.11.44.710
N046.10.36.388 W001.11.44.697
N046.10.36.322 W001.11.44.682
N046.10.36.158 W001.11.44.682
N046.10.35.968 W001.11.44.699
N046.10.35.912 W001.11.44.704
N046.10.35.881 W001.11.44.712
N046.10.35.857 W001.11.44.720
N046.10.36.039 W001.11.44.354
N046.10.36.156 W001.11.44.347
N046.10.36.308 W001.11.44.337
N046.10.36.416 W001.11.44.356
N046.10.36.492 W001.11.44.375
N046.10.36.554 W001.11.44.410
N046.10.36.611 W001.11.44.446
N046.10.36.667 W001.11.44.497
N046.10.36.710 W001.11.44.554
N046.10.36.744 W001.11.44.612
N046.10.36.771 W001.11.44.669
N046.10.36.800 W001.11.44.734
N046.10.36.821 W001.11.44.788
N046.10.36.830 W001.11.44.800
N046.10.36.839 W001.11.44.801
N046.10.36.852 W001.11.44.795
N046.10.36.866 W001.11.44.780
N046.10.37.046 W001.11.44.368
 
COLOR_HardSurface3
N046.10.27.174 W001.11.24.707
N046.10.27.216 W001.11.24.666
N046.10.27.261 W001.11.24.640
N046.10.27.388 W001.11.24.676
N046.10.27.456 W001.11.24.809
N046.10.27.467 W001.11.25.028
N046.10.27.444 W001.11.25.101
N046.10.27.308 W001.11.25.190
N046.10.27.192 W001.11.25.159
N046.10.27.106 W001.11.25.034
N046.10.27.100 W001.11.24.827
N046.10.27.134 W001.11.24.763
 
COLOR_HardSurface2
N046.10.39.982 W001.11.43.464
N046.10.39.310 W001.11.43.518
N046.10.39.274 W001.11.43.557
N046.10.39.238 W001.11.43.606
N046.10.39.208 W001.11.43.659
N046.10.39.197 W001.11.43.708
N046.10.39.193 W001.11.43.773
N046.10.39.201 W001.11.44.233
N046.10.38.947 W001.11.44.238
N046.10.38.938 W001.11.43.890
N046.10.38.937 W001.11.43.826
N046.10.38.930 W001.11.43.772
N046.10.38.916 W001.11.43.726
N046.10.38.892 W001.11.43.672
N046.10.38.861 W001.11.43.628
N046.10.38.826 W001.11.43.589
N046.10.38.796 W001.11.43.566
N046.10.38.759 W001.11.43.550
N046.10.38.711 W001.11.43.542
N046.10.38.072 W001.11.43.587
N046.10.38.032 W001.11.43.603
N046.10.37.996 W001.11.43.634
N046.10.37.970 W001.11.43.665
N046.10.37.946 W001.11.43.710
N046.10.37.928 W001.11.43.758
N046.10.37.921 W001.11.43.813
N046.10.37.915 W001.11.43.872
N046.10.37.919 W001.11.44.304
N046.10.37.654 W001.11.44.319
N046.10.37.649 W001.11.43.809
N046.10.37.616 W001.11.43.722
N046.10.37.250 W001.11.44.561
