N049.00.29.583 E002.32.59.474 MIDDLE 1
N049.00.31.870 E002.33.15.730 MIDDLE 2
N049.00.40.808 E002.34.44.919 MIDDLE 3
N049.00.41.407 E002.35.00.889 MIDDLE 4
N049.00.44.577 E002.29.35.505 EM1
N049.00.49.236 E002.30.13.132 EM2
N049.00.50.502 E002.30.33.379 EM3
N049.00.51.401 E002.30.49.264 EM4
N049.00.51.606 E002.30.53.314 EM5
N049.00.52.433 E002.31.07.868 EM6
N049.00.52.535 E002.31.11.216 EM7
N049.00.52.842 E002.31.18.147 EM8
N049.00.46.670 E002.30.20.960 EM23
N049.01.00.190 E002.30.40.940 B
N049.01.03.920 E002.32.24.890 LINK W
N049.00.51.140 E002.30.27.090 M
N049.00.00.280 E002.33.15.310 CARGO 1
N048.59.55.010 E002.33.17.610 CARGO 2
N049.00.56.050 E002.31.01.940 OUEST
N049.00.59.270 E002.31.12.210 EST
