COLOR_GrasSurface          
N044.50.11.022 W000.41.50.758
N044.50.11.057 W000.41.50.696
N044.50.11.073 W000.41.50.642
N044.50.11.079 W000.41.50.574
N044.50.11.073 W000.41.50.498
N044.50.11.062 W000.41.50.423
N044.50.11.042 W000.41.50.360
N044.50.11.015 W000.41.50.307
N044.50.10.990 W000.41.50.273
N044.50.11.292 W000.41.49.837
N044.50.11.336 W000.41.49.886
N044.50.11.384 W000.41.49.930
N044.50.11.421 W000.41.49.951
N044.50.11.468 W000.41.49.963
N044.50.11.520 W000.41.49.960
N044.50.11.565 W000.41.49.941
N044.50.11.609 W000.41.49.898
N044.50.11.652 W000.41.49.844
N044.50.12.043 W000.41.49.283
N044.50.13.399 W000.41.51.132


COLOR_HardSurface3         
N044.50.12.140 W000.41.57.239
N044.50.12.081 W000.41.57.144
N044.50.11.618 W000.41.56.499
N044.50.11.517 W000.41.56.343
N044.50.14.730 W000.41.51.737
N044.50.15.569 W000.41.52.916
N044.50.15.225 W000.41.53.411
N044.50.15.209 W000.41.53.367
N044.50.15.184 W000.41.53.310
N044.50.15.154 W000.41.53.256
N044.50.15.118 W000.41.53.212
N044.50.15.076 W000.41.53.174
N044.50.15.025 W000.41.53.142
N044.50.14.978 W000.41.53.125
N044.50.14.924 W000.41.53.121
N044.50.14.862 W000.41.53.131
N044.50.14.817 W000.41.53.148
N044.50.14.772 W000.41.53.181
N044.50.14.726 W000.41.53.231
N044.50.14.493 W000.41.53.573
N044.50.14.463 W000.41.53.635
N044.50.14.441 W000.41.53.697
N044.50.14.425 W000.41.53.761
N044.50.14.413 W000.41.53.827
N044.50.14.413 W000.41.53.889
N044.50.14.416 W000.41.53.946
N044.50.14.428 W000.41.53.991
N044.50.14.449 W000.41.54.042
N044.50.14.098 W000.41.54.547
N044.50.14.052 W000.41.54.522
N044.50.14.006 W000.41.54.509
